IP Origen,IP Destino,MAC Origen,MAC Destino,Puerto Ori,Puerto Des,Protocolo,Longitud,Hora Captura,Dispositivo Local,Sitio/App Destino,Hostname Remoto,SSID
100.29.134.11,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,61886,TCP,93,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,100.29.134.11,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,61886,443,TCP,54,2026-03-04 21:13:06,DESKTOP-G6APLIR,,,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,137,137,UDP,92,2026-03-04 21:13:07,DESKTOP-G6APLIR,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,137,137,UDP,124,2026-03-04 21:13:07,10.20.53.33,,,N/A
10.20.53.78,18.211.220.239,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,63728,443,TCP,55,2026-03-04 21:13:07,DESKTOP-G6APLIR,,ec2-18-211-220-239.compute-1.amazonaws.com,N/A
10.20.53.78,10.20.53.255,d4:d8:53:5d:25:cd,ff:ff:ff:ff:ff:ff,51955,51007,UDP,186,2026-03-04 21:13:07,DESKTOP-G6APLIR,,,N/A
10.20.53.78,224.0.0.252,d4:d8:53:5d:25:cd,01:00:5e:00:00:fc,137,137,UDP,92,2026-03-04 21:13:07,DESKTOP-G6APLIR,,,N/A
18.211.220.239,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,63728,TCP,66,2026-03-04 21:13:07,DESKTOP-G6APLIR,,,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,137,137,UDP,92,2026-03-04 21:13:07,DESKTOP-G6APLIR,,,N/A
10.20.53.78,172.212.135.2,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,52680,443,TCP,82,2026-03-04 21:13:07,DESKTOP-G6APLIR,,,N/A
172.212.135.2,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,52680,TCP,54,2026-03-04 21:13:07,172.212.135.2,,,N/A
10.20.53.78,104.18.18.125,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,137,137,UDP,92,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
34.229.67.192,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,50709,TCP,54,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
10.20.53.78,34.229.67.192,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,50709,443,TCP,54,2026-03-04 21:13:08,DESKTOP-G6APLIR,,ec2-34-229-67-192.compute-1.amazonaws.com,N/A
10.20.53.78,18.211.220.239,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,63728,443,TCP,55,2026-03-04 21:13:08,DESKTOP-G6APLIR,,ec2-18-211-220-239.compute-1.amazonaws.com,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,137,137,UDP,92,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,137,137,UDP,124,2026-03-04 21:13:08,10.20.53.33,,,N/A
18.211.220.239,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,63728,TCP,66,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
10.20.53.78,104.18.18.125,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,51001,443,TCP,780,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
10.20.53.78,104.18.18.125,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,51001,443,TCP,85,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
10.20.53.78,104.18.18.125,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,51001,443,TCP,604,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
10.20.53.78,104.18.18.125,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,51001,443,TCP,85,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
104.18.18.125,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,51001,TCP,54,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
104.18.18.125,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,51001,TCP,135,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
104.18.18.125,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,51001,TCP,89,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
104.18.18.125,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,51001,TCP,89,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
10.20.53.78,104.18.18.125,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,51001,443,TCP,54,2026-03-04 21:13:08,DESKTOP-G6APLIR,,,N/A
10.20.53.78,224.0.0.252,d4:d8:53:5d:25:cd,01:00:5e:00:00:fc,137,137,UDP,92,2026-03-04 21:13:09,DESKTOP-G6APLIR,,,N/A
104.18.18.125,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,51001,TCP,112,2026-03-04 21:13:09,DESKTOP-G6APLIR,,,N/A
10.20.53.78,104.18.18.125,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,51001,443,TCP,54,2026-03-04 21:13:09,DESKTOP-G6APLIR,,,N/A
10.20.53.78,34.229.67.192,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,56670,443,TCP,93,2026-03-04 21:13:09,DESKTOP-G6APLIR,,ec2-34-229-67-192.compute-1.amazonaws.com,N/A
10.20.53.78,20.189.173.1,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,137,137,UDP,92,2026-03-04 21:13:09,DESKTOP-G6APLIR,,,N/A
34.229.67.192,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,443,56670,TCP,93,2026-03-04 21:13:09,DESKTOP-G6APLIR,,,N/A
10.20.53.78,34.229.67.192,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,56670,443,TCP,54,2026-03-04 21:13:09,DESKTOP-G6APLIR,,ec2-34-229-67-192.compute-1.amazonaws.com,N/A
10.20.53.78,10.20.53.33,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,57671,53,UDP,88,2026-03-04 21:13:09,DESKTOP-G6APLIR,188.115.250.142.in-addr.arpa,,N/A
10.20.53.78,18.211.220.239,d4:d8:53:5d:25:cd,76:ac:1e:a3:16:a0,63728,443,TCP,55,2026-03-04 21:13:09,DESKTOP-G6APLIR,,ec2-18-211-220-239.compute-1.amazonaws.com,N/A
10.20.53.33,10.20.53.78,76:ac:1e:a3:16:a0,d4:d8:53:5d:25:cd,53,57671,UDP,122,2026-03-04 21:13:09,10.20.53.33,,,N/A
